location_id,location_name,region,month,revenue,labor_expense,other_expense,volume
LOC-014,Desert Springs,West,2025-01-01,270509.28,88726.02,116510.99,1829
LOC-014,Desert Springs,West,2025-02-01,272242.46,81570.34,118180.78,1861
LOC-014,Desert Springs,West,2025-03-01,275781.09,93147.7,126617.21,1852
LOC-014,Desert Springs,West,2025-04-01,274639.8,93667.25,118265.12,1967
LOC-014,Desert Springs,West,2025-05-01,265356.0,84971.31,124694.02,1916
LOC-014,Desert Springs,West,2025-06-01,264044.86,80720.48,114635.97,1938
LOC-014,Desert Springs,West,2025-07-01,272341.09,80699.88,121409.62,1955
LOC-014,Desert Springs,West,2025-08-01,269091.89,77395.9,120977.37,1992
LOC-014,Desert Springs,West,2025-09-01,283478.04,92079.71,129169.55,2058
LOC-014,Desert Springs,West,2025-10-01,278118.53,87645.57,121597.44,2049
LOC-014,Desert Springs,West,2025-11-01,288235.1,91242.86,122947.91,2031
LOC-014,Desert Springs,West,2025-12-01,279465.27,82235.92,119487.96,2093
LOC-015,Cascade,West,2025-01-01,267263.11,86590.63,122444.25,1982
LOC-015,Cascade,West,2025-02-01,280271.93,85202.57,125420.96,1977
LOC-015,Cascade,West,2025-03-01,282286.21,81610.42,124345.07,2020
LOC-015,Cascade,West,2025-04-01,286775.21,89198.07,114100.82,1976
LOC-015,Cascade,West,2025-05-01,285750.66,93337.62,132095.08,1873
LOC-015,Cascade,West,2025-06-01,285773.71,87872.69,114779.75,1980
LOC-015,Cascade,West,2025-07-01,282321.22,83340.95,111888.83,2060
LOC-015,Cascade,West,2025-08-01,285225.65,96911.05,114503.67,1990
LOC-015,Cascade,West,2025-09-01,278606.43,79559.92,126590.58,2090
LOC-015,Cascade,West,2025-10-01,289942.03,90318.04,121092.91,2039
LOC-015,Cascade,West,2025-11-01,290756.26,87228.59,133057.13,1972
LOC-015,Cascade,West,2025-12-01,286571.89,85751.58,124874.79,2061
