location_id,location_name,region,month,revenue,budget_revenue,labor_expense,other_expense,volume
LOC-008,Riverbend,Midwest,2025-05-01,228474.97,232079.59,73278.12,106470.06,1715
LOC-008,Riverbend,Midwest,2025-06-01,228861.62,230438.35,72157.02,104462.86,1668
LOC-008,Riverbend,Midwest,2025-07-01,235433.38,232103.31,73803.77,96700.81,1628
LOC-008,Riverbend,Midwest,2025-08-01,232075.49,233746.08,73400.37,102145.68,1642
LOC-008,Riverbend,Midwest,2025-09-01,223107.35,229593.16,67222.89,92718.23,1697
LOC-008,Riverbend,Midwest,2025-10-01,225557.69,230317.79,73675.48,100714.56,1626
LOC-008,Riverbend,Midwest,2025-11-01,231915.4,235308.5,71881.36,94284.45,1696
LOC-008,Riverbend,Midwest,2025-12-01,242618.71,237170.5,79271.15,111250.03,1766
LOC-009,Magnolia Park,South,2025-01-01,225070.37,222767.09,68895.28,101344.24,1712
LOC-009,Magnolia Park,South,2025-02-01,236949.33,228872.47,78157.96,102762.69,1681
LOC-009,Magnolia Park,South,2025-03-01,224921.46,227987.76,69984.35,88241.63,1647
LOC-009,Magnolia Park,South,2025-04-01,234792.35,231524.96,69240.89,100348.19,1622
LOC-009,Magnolia Park,South,2025-05-01,235162.74,228541.3,72580.91,102331.39,1614
LOC-009,Magnolia Park,South,2025-06-01,236970.64,231198.79,74101.17,93371.83,1684
LOC-009,Magnolia Park,South,2025-07-01,230267.95,234842.86,76143.57,96788.55,1758
LOC-009,Magnolia Park,South,2025-08-01,243411.34,235363.57,70568.45,95307.87,1732
LOC-009,Magnolia Park,South,2025-09-01,248064.24,237928.21,80374.96,112248.73,1762
LOC-009,Magnolia Park,South,2025-10-01,244814.96,246528.55,72700.65,95876.98,1685
LOC-009,Magnolia Park,South,2025-11-01,234128.22,244596.63,74649.01,95392.54,1791
LOC-009,Magnolia Park,South,2025-12-01,247938.27,239936.48,79696.0,111531.08,1698
LOC-010,Peachtree,South,2025-01-01,240487.53,241118.78,70098.73,94284.16,1665
LOC-010,Peachtree,South,2025-02-01,239300.14,242537.61,73895.71,107015.3,1635
LOC-010,Peachtree,South,2025-03-01,241027.76,240104.95,70166.57,108895.97,1778
LOC-010,Peachtree,South,2025-04-01,240781.27,235531.03,82836.14,108980.21,1702
LOC-010,Peachtree,South,2025-05-01,238940.54,239963.88,75351.73,99709.53,1800
LOC-010,Peachtree,South,2025-06-01,248006.96,238212.87,84978.9,109333.08,1807
LOC-010,Peachtree,South,2025-07-01,247261.35,243659.07,81355.84,115529.87,1720
LOC-010,Peachtree,South,2025-08-01,250715.38,246372.92,78727.1,106515.42,1812
LOC-010,Peachtree,South,2025-09-01,241576.98,251696.68,80890.57,95889.88,1849
LOC-010,Peachtree,South,2025-10-01,242519.1,248393.57,77998.97,101935.42,1707
LOC-010,Peachtree,South,2025-11-01,256039.81,246330.89,76230.01,116197.67,1774
LOC-010,Peachtree,South,2025-12-01,258124.19,254274.86,77844.09,100878.05,1894
LOC-011,Cypress Grove,South,2025-01-01,233735.75,245618.9,73466.58,105333.76,1774
LOC-011,Cypress Grove,South,2025-02-01,246089.27,244354.61,81843.38,97806.77,1703
LOC-011,Cypress Grove,South,2025-03-01,248505.19,243602.2,79495.15,106325.64,1768
LOC-011,Cypress Grove,South,2025-04-01,244782.43,250509.33,74621.31,109228.87,1732
LOC-011,Cypress Grove,South,2025-05-01,242822.82,244289.62,72010.34,97023.35,1790
LOC-011,Cypress Grove,South,2025-06-01,254478.06,246572.43,75830.16,109103.88,1835
LOC-011,Cypress Grove,South,2025-07-01,260310.74,252312.63,78608.62,103614.63,1750
LOC-011,Cypress Grove,South,2025-08-01,246750.61,249468.21,70533.39,106776.59,1775
LOC-011,Cypress Grove,South,2025-09-01,263378.19,255695.74,86083.86,105378.24,1894
LOC-011,Cypress Grove,South,2025-10-01,255063.74,261283.09,81478.54,109052.95,1827
LOC-011,Cypress Grove,South,2025-11-01,250266.83,252274.55,85457.07,107168.85,1908
LOC-011,Cypress Grove,South,2025-12-01,256198.62,254041.59,82692.39,101016.23,1794
LOC-012,Blue Ridge,South,2025-01-01,250254.28,247805.24,86246.41,99970.61,1831
LOC-012,Blue Ridge,South,2025-02-01,252678.51,255442.46,75434.95,109108.05,1786
LOC-012,Blue Ridge,South,2025-03-01,250937.33,257892.73,86423.29,103996.06,1828
LOC-012,Blue Ridge,South,2025-04-01,255862.02,257950.47,87467.82,104039.39,1765
LOC-012,Blue Ridge,South,2025-05-01,258457.58,252082.76,76355.82,102350.54,1737
LOC-012,Blue Ridge,South,2025-06-01,255710.94,259215.33,77346.31,104462.55,1878
LOC-012,Blue Ridge,South,2025-07-01,262466.59,258970.24,85627.91,121761.63,1904
LOC-012,Blue Ridge,South,2025-08-01,262416.88,263210.5,89489.43,111267.67,1870
LOC-012,Blue Ridge,South,2025-09-01,264449.39,268006.48,88484.2,104646.01,1810
LOC-012,Blue Ridge,South,2025-10-01,258861.08,267494.68,82616.14,106932.63,1813
LOC-012,Blue Ridge,South,2025-11-01,268444.21,268415.77,91689.96,115441.15,1894
LOC-012,Blue Ridge,South,2025-12-01,257069.39,261207.69,79928.46,106885.78,1858
LOC-013,Golden Gate,West,2025-01-01,247877.04,263454.63,83077.85,108078.34,1910
LOC-013,Golden Gate,West,2025-02-01,268149.98,261355.32,80758.91,105441.54,1886
LOC-013,Golden Gate,West,2025-03-01,258822.75,262697.52,87990.51,104698.75,1866
LOC-013,Golden Gate,West,2025-04-01,263839.57,262222.14,76638.68,110241.9,1831
LOC-013,Golden Gate,West,2025-05-01,266189.37,268625.38,81131.38,118585.74,1833
LOC-013,Golden Gate,West,2025-06-01,273614.79,269668.31,87011.09,116665.54,1849
LOC-013,Golden Gate,West,2025-07-01,262037.16,273372.61,81035.12,112981.96,1988
LOC-013,Golden Gate,West,2025-08-01,270757.48,269291.37,83879.27,109658.57,1881
LOC-013,Golden Gate,West,2025-09-01,274493.14,272006.47,90747.28,111522.35,1928
LOC-013,Golden Gate,West,2025-10-01,279822.06,271080.64,91472.43,111848.82,2021
LOC-013,Golden Gate,West,2025-11-01,274525.4,269968.2,80848.47,119162.45,1951
LOC-013,Golden Gate,West,2025-12-01,264836.44,281851.37,89985.01,113062.87,1878
LOC-014,Desert Springs,West,2025-01-01,270509.28,264803.63,88726.02,116510.99,1829
LOC-014,Desert Springs,West,2025-02-01,272242.46,272834.88,81570.34,118180.78,1861
LOC-014,Desert Springs,West,2025-03-01,275781.09,268221.31,93147.7,126617.21,1852
LOC-014,Desert Springs,West,2025-04-01,274639.8,268613.04,93667.25,118265.12,1967
LOC-014,Desert Springs,West,2025-05-01,265356.0,268677.76,84971.31,124694.02,1916
LOC-014,Desert Springs,West,2025-06-01,264044.86,273565.0,80720.48,114635.97,1938
LOC-014,Desert Springs,West,2025-07-01,272341.09,272248.52,80699.88,121409.62,1955
LOC-014,Desert Springs,West,2025-08-01,269091.89,280115.34,77395.9,120977.37,1992
LOC-014,Desert Springs,West,2025-09-01,283478.04,276394.98,92079.71,129169.55,2058
LOC-014,Desert Springs,West,2025-10-01,278118.53,273173.03,87645.57,121597.44,2049
LOC-014,Desert Springs,West,2025-11-01,288235.1,280421.5,91242.86,122947.91,2031
LOC-014,Desert Springs,West,2025-12-01,279465.27,285078.45,82235.92,119487.96,2093
LOC-015,Cascade,West,2025-01-01,267263.11,274722.63,86590.63,122444.25,1982
LOC-015,Cascade,West,2025-02-01,280271.93,272167.69,85202.57,125420.96,1977
LOC-015,Cascade,West,2025-03-01,282286.21,269129.63,81610.42,124345.07,2020
LOC-015,Cascade,West,2025-04-01,286775.21,280581.91,89198.07,114100.82,1976
LOC-015,Cascade,West,2025-05-01,285750.66,278086.0,93337.62,132095.08,1873
LOC-015,Cascade,West,2025-06-01,285773.71,277671.63,87872.69,114779.75,1980
LOC-015,Cascade,West,2025-07-01,282321.22,286351.76,83340.95,111888.83,2060
LOC-015,Cascade,West,2025-08-01,285225.65,280271.56,96911.05,114503.67,1990
LOC-015,Cascade,West,2025-09-01,278606.43,282144.19,79559.92,126590.58,2090
LOC-015,Cascade,West,2025-10-01,289942.03,282420.5,90318.04,121092.91,2039
LOC-015,Cascade,West,2025-11-01,290756.26,287909.51,87228.59,133057.13,1972
LOC-015,Cascade,West,2025-12-01,286571.89,290443.35,85751.58,124874.79,2061
